X,Y,NAME,POSIT_VEG,POSIT_RES,POSIT_ARB,LONGUEUR,NACELLE,ZAR,ESSENCE_PR,COM,photo,layer,NUM_UNIQUE,icon_url
0.34282782,44.13401362,Isolé 1,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,ERABLE NEGUNDO,,,ISOLE ZONE 1,"1",./0.png
0.34278262,44.13373982,Isolé 2,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,ERABLE NEGUNDO,,,ISOLE ZONE 1,"2",./0.png
0.34375603,44.13232344,Isolé 3,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,SAULE,,,ISOLE ZONE 1,"3",./0.png
0.34456774,44.1295197,Isolé 4,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CÈDRE,,,ISOLE ZONE 1,"4",./0.png
0.3445685,44.1294231,Isolé 5,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,MICOCOULIER/LILAS/ORNEMENT,,,ISOLE ZONE 1,"5",./0.png
0.34469518,44.12916286,Isolé 6,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,PRUNIER,,,ISOLE ZONE 1,"6",./0.png
0.3447711,44.12833686,Isolé 7,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,LIERRE POTEAU,,,ISOLE ZONE 1,"7",./0.png
0.34563873,44.12720801,Isolé 8,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"8",./0.png
0.34575358,44.12721749,Isolé 9,1 COTE,Réseau privé,Arbre public,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"9",./0.png
0.34695886,44.12527843,Isolé 10,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CÈDRE,,,ISOLE ZONE 1,"10",./0.png
0.34829501,44.12202863,Isolé 11,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"11",./0.png
0.35136447,44.11880068,Isolé 12,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"12",./0.png
0.35130319,44.11874337,Isolé 13,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"13",./0.png
0.35141802,44.11867408,Isolé 14,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"14",./0.png
0.35147015,44.11797744,Isolé 15,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"15",./0.png
0.35238158,44.1173013,Isolé 16,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"16",./0.png
0.35250305,44.11721931,Isolé 17,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"17",./0.png
0.3530856,44.11674714,Isolé 18,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHARME,,,ISOLE ZONE 1,"18",./0.png
0.3549253,44.11536073,Isolé 19,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,TILLEUL/PEUPLIER,,,ISOLE ZONE 1,"19",./0.png
0.3551715,44.1151383,Isolé 20,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,TILLEUL/ACACIA,,,ISOLE ZONE 1,"20",./0.png
0.35877289,44.11336117,Isolé 21,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"21",./0.png
0.35903593,44.11336048,Isolé 22,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"22",./0.png
0.35905321,44.11327091,Isolé 23,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"23",./0.png
0.35915661,44.11332884,Isolé 24,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"24",./0.png
0.35983271,44.11308817,Isolé 25,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"25",./0.png
0.36026852,44.11302479,Isolé 26,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOISETIER/TROÈNE,,,ISOLE ZONE 1,"26",./0.png
0.3603541,44.11299363,Isolé 27,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,SUREAU,,,ISOLE ZONE 1,"27",./0.png
0.35567928,44.12128367,Isolé 28,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"28",./0.png
0.35612128,44.1213453,Isolé 29,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ERABLE NEGUNDO/PRUNIER ROUGE,,,ISOLE ZONE 1,"29",./0.png
0.35019484,44.12794377,Isolé 30,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"30",./0.png
0.3499424,44.12791599,Isolé 31,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"31",./0.png
0.34968284,44.12788907,Isolé 32,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"32",./0.png
0.34948586,44.12783463,Isolé 33,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ALBIZIA,,,ISOLE ZONE 1,"33",./0.png
0.34942721,44.12786253,Isolé 34,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"34",./0.png
0.34918362,44.12783702,Isolé 35,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"35",./0.png
0.34581225,44.13462458,Isolé 36,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CATALPA,,,ISOLE ZONE 1,"36",./0.png
0.34634048,44.13483028,Isolé 37,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"37",./0.png
0.34715521,44.13349735,Isolé 38,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ORNEMENT,,,ISOLE ZONE 1,"38",./0.png
0.35001599,44.13219384,Isolé 39,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,FIGUIER,,,ISOLE ZONE 1,"39",./0.png
0.35031883,44.13207634,Isolé 40,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"40",./0.png
0.35104121,44.13181207,Isolé 41,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ALBIZIA,,,ISOLE ZONE 1,"41",./0.png
0.35115653,44.13176919,Isolé 42,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ALBIZIA,,,ISOLE ZONE 1,"42",./0.png
0.35144331,44.13183283,Isolé 43,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,MAGNOLIA,,,ISOLE ZONE 1,"43",./0.png
0.35151751,44.13180897,Isolé 44,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"44",./0.png
0.35161666,44.13090963,Isolé 45,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ARBRE DE JUDÉE,,,ISOLE ZONE 1,"45",./0.png
0.35064602,44.12952403,Isolé 46,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,LAURIER,,,ISOLE ZONE 1,"46",./0.png
0.34914829,44.13174423,Isolé 47,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ORNEMENT/BOULEAU,,,ISOLE ZONE 1,"47",./0.png
0.34876682,44.13188198,Isolé 48,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,ORNEMENT,,,ISOLE ZONE 1,"48",./0.png
0.34980346,44.13153102,Isolé 49,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ALBIZIA,,,ISOLE ZONE 1,"49",./0.png
0.34931441,44.1313212,Isolé 50,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,LIQUIDAMBAR,,,ISOLE ZONE 1,"50",./0.png
0.34945868,44.13058329,Isolé 51,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,MÛRIER,,,ISOLE ZONE 1,"51",./0.png
0.3490212,44.13107218,Isolé 52,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"52",./0.png
0.34886838,44.13101456,Isolé 53,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"53",./0.png
0.35886961,44.12103689,Isolé 54,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHARME,,,ISOLE ZONE 1,"54",./0.png
0.35882835,44.12098824,Isolé 55,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHARME,,,ISOLE ZONE 1,"55",./0.png
0.36422856,44.11663877,Isolé 56,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"56",./0.png
0.36433389,44.11656939,Isolé 57,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ERABLE NEGUNDO,,,ISOLE ZONE 1,"57",./0.png
0.36438217,44.11647759,Isolé 58,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"58",./0.png
0.36453586,44.11638043,Isolé 59,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,,,ISOLE ZONE 1,"59",./0.png
0.36618689,44.11413345,Isolé 60,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ORME,,,ISOLE ZONE 1,"60",./0.png
0.3642275,44.11310829,Isolé 61,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"61",./0.png
0.36407421,44.11327675,Isolé 62,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"62",./0.png
0.36341593,44.11380216,Isolé 63,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"63",./0.png
0.36319899,44.11424322,Isolé 64,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"64",./0.png
0.36314563,44.1143307,Isolé 65,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"65",./0.png
0.36289249,44.11450432,Isolé 67,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"66",./0.png
0.36293405,44.11445136,Isolé 66,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,FRÊNE/ACACIA,,,ISOLE ZONE 1,"67",./0.png
0.36279904,44.11467102,Isolé 68,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,RAMPANTE/CORNOUILLER,,,ISOLE ZONE 1,"68",./0.png
